market,period,metric,value,edition,source_file
Silicon Valley,H1 2019,under_construction_mw,24.0,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H1 2019,vacancy_pct,5.4,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H1 2019,vacancy_pct,5.4,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2019,new_deliveries_mw,18.0,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2019,new_deliveries_mw,18.0,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2019,preleased_mw,6.0,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2019,preleased_mw,6.0,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2019,under_construction_mw,12.0,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2019,under_construction_mw,12.0,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
Silicon Valley,H2 2019,vacancy_pct,3.4,H1 2026 chapter history,data/raw/market_reports/2026-09-21/cbre_h1_2026_silicon_valley_infogram/fig2_Silicon_Valley_Fig_1_24055fdc-ac59-4de3-a70e-0be1bfb25cf9_table1.csv
Silicon Valley,H2 2019,vacancy_pct,3.4,H2 2025 chapter history,data/raw/market_reports/2026-09-21/cbre_h2_2025_silicon_valley_infogram/fig2_Silicon_Valley_FIG01_ece2759c-ff47-43f2-a2a0-b220281a1342_table1.csv
